========== 鬼谷八荒 造物属性字典 02/02/2026 09:56:13 ==========
此文件包含 AI 造物所需的所有属性 Key、ID 及含义。

>>> [1. 气运与角色属性字典 (RoleEffect Keys)]
说明：用于 'ConfRoleEffectItem.value' 字段。格式通常为 key_参数1_参数2
---------------------------------------------------------------
Key: intoDungeon     | 出现次数: 348  | 样本: intoDungeon_24172
Key: fixValue        | 出现次数: 332  | 样本: fixValue_gradeGrowSucceed_30
Key: randomValue     | 出现次数: 169  | 样本: randomValue_gradeGrowPure_40_69
Key: beauty          | 出现次数: 150  | 样本: beauty_1_-300
Key: atk             | 出现次数: 136  | 样本: atk_1_8
Key: mood            | 出现次数: 136  | 样本: mood_1_20
Key: hpMax           | 出现次数: 111  | 样本: hpMax_1_100
Key: luck            | 出现次数: 105  | 样本: luck_1_20
Key: clearFeature    | 出现次数: 97   | 样本: clearFeature_100_109
Key: def             | 出现次数: 87   | 样本: def_1_-4
Key: fsp             | 出现次数: 78   | 样本: fsp_1_100|msp_1_20|energyMax_1_-10
Key: element         | 出现次数: 73   | 样本: element_elementNames_0_0_50_50_0_0_0_0
Key: life            | 出现次数: 66   | 样本: life_1_-120
Key: attrEffect      | 出现次数: 65   | 样本: attrEffect_basWpMax_&8100124_xqzz&_999999999_atk_&8100124_tsgj&
Key: talent          | 出现次数: 61   | 样本: talent_1_20
Key: mpMax           | 出现次数: 57   | 样本: mpMax_1_50
Key: spMax           | 出现次数: 52   | 样本: spMax_1_-80
Key: mp              | 出现次数: 45   | 样本: mp_1_50
Key: basMgAll        | 出现次数: 43   | 样本: basMgAll_1_20
Key: hp              | 出现次数: 39   | 样本: hp_1_100
Key: msp             | 出现次数: 37   | 样本: msp_1_20
Key: basFire         | 出现次数: 33   | 样本: basFire_1_25
Key: changeAbility   | 出现次数: 28   | 样本: changeAbility_1_hp_1_200
Key: guard           | 出现次数: 27   | 样本: guard_1_10
Key: attach          | 出现次数: 27   | 样本: attach_ageYear_def_&700044_tsfy&_99999
Key: energyMax       | 出现次数: 26   | 样本: energyMax_1_-20
Key: addFeature      | 出现次数: 26   | 样本: addFeature_100_7000531
Key: crit            | 出现次数: 25   | 样本: crit_1_20
Key: basFroze        | 出现次数: 25   | 样本: basFroze_1_25
Key: astrictAttrAdd  | 出现次数: 25   | 样本: astrictAttrAdd_basPil_1_20_50
Key: openUI          | 出现次数: 25   | 样本: openUI_MartialUpGrade_0_2022081
Key: standDown       | 出现次数: 24   | 样本: standDown_1_50
Key: basWpAll        | 出现次数: 24   | 样本: basWpAll_1_18
Key: basWind         | 出现次数: 24   | 样本: basWind_1_25
Key: standUp         | 出现次数: 23   | 样本: standUp_1_50
Key: basThunder      | 出现次数: 23   | 样本: basThunder_1_25
Key: basEarth        | 出现次数: 23   | 样本: basEarth_1_25
Key: basWood         | 出现次数: 23   | 样本: basWood_1_25
Key: basSword        | 出现次数: 20   | 样本: basSword_1_25
Key: reputation      | 出现次数: 20   | 样本: reputation_1_150
Key: limitGradeExp   | 出现次数: 20   | 样本: limitGradeExp_1_1
Key: exp             | 出现次数: 20   | 样本: exp_1_1
Key: basSpear        | 出现次数: 19   | 样本: basSpear_1_25
Key: basFist         | 出现次数: 19   | 样本: basFist_1_25
Key: callDrama       | 出现次数: 19   | 样本: callDrama_6311001_6311004
Key: basBlade        | 出现次数: 18   | 样本: basBlade_1_25
Key: monthAttrAdd    | 出现次数: 18   | 样本: monthAttrAdd_mood_-20
Key: abilityPoint    | 出现次数: 17   | 样本: abilityPoint_1_&700066_tsdd&
Key: basFinger       | 出现次数: 16   | 样本: basFinger_1_25
Key: basPil          | 出现次数: 16   | 样本: basPil_1_12
Key: healthMax       | 出现次数: 16   | 样本: healthMax_1_-20
Key: item            | 出现次数: 16   | 样本: item_1718_1
Key: npcCloseStable  | 出现次数: 16   | 样本: npcCloseStable_1_-100_0
Key: health          | 出现次数: 16   | 样本: health_1_5
Key: decorateInvalid | 出现次数: 16   | 样本: decorateInvalid_101
Key: basPalm         | 出现次数: 15   | 样本: basPalm_1_25
Key: basEqp          | 出现次数: 15   | 样本: basEqp_1_25
Key: basGeo          | 出现次数: 14   | 样本: basGeo_1_10
Key: energy          | 出现次数: 13   | 样本: energy_1_15
Key: immuneFeature   | 出现次数: 12   | 样本: immuneFeature_5011_105
Key: townBuyDecline  | 出现次数: 11   | 样本: townBuyDecline_0_-10
Key: moodMax         | 出现次数: 10   | 样本: moodMax_1_-30
Key: specificNpc     | 出现次数: 10   | 样本: specificNpc
Key: bannedFunc      | 出现次数: 9    | 样本: bannedFunc_getExp
Key: meetMonsterProbInArea | 出现次数: 9    | 样本: meetMonsterProbInArea_200_0_2_3
Key: addNPCLuck      | 出现次数: 9    | 样本: addNPCLuck_0_9300101_&3000111_jqdsj&
Key: createRoleToUnitAction | 出现次数: 9    | 样本: createRoleToUnitAction_50_1_1
Key: basSym          | 出现次数: 8    | 样本: basSym_1_60
Key: giveCloseStable | 出现次数: 8    | 样本: giveCloseStable_1_0_120
Key: expGrow         | 出现次数: 7    | 样本: expGrow_0_20
Key: growForbid      | 出现次数: 7    | 样本: growForbid
Key: pfr             | 出现次数: 7    | 样本: pfr_0_10
Key: basHerb         | 出现次数: 7    | 样本: basHerb_1_5
Key: basMine         | 出现次数: 7    | 样本: basMine_1_5
Key: schoolBuyDecline | 出现次数: 7    | 样本: schoolBuyDecline_0_-20
Key: hide            | 出现次数: 6    | 样本: hide
Key: output          | 出现次数: 6    | 样本: output_3_220201
Key: killReduce      | 出现次数: 6    | 样本: killReduce_5074_1_51001
Key: statueDiscount  | 出现次数: 6    | 样本: statueDiscount_90
Key: statueAppear    | 出现次数: 6    | 样本: statueAppear_15
Key: getGift         | 出现次数: 6    | 样本: getGift_2_905111_905112_905113
Key: passRoom        | 出现次数: 6    | 样本: passRoom_90612
Key: doubleReward    | 出现次数: 6    | 样本: doubleReward_5
Key: escapeCD        | 出现次数: 6    | 样本: escapeCD_0_-25
Key: escapeLuck      | 出现次数: 6    | 样本: escapeLuck_1_10
Key: escapeFsp       | 出现次数: 6    | 样本: escapeFsp_0_10
Key: critV           | 出现次数: 6    | 样本: critV_1_100
Key: schoolMoneyAdd  | 出现次数: 6    | 样本: schoolMoneyAdd_30
Key: stopRunAI       | 出现次数: 5    | 样本: stopRunAI
Key: mfr             | 出现次数: 5    | 样本: mfr_1_&6001_mokang&
Key: meetMonsterProbGrade | 出现次数: 5    | 样本: meetMonsterProbGrade_2_-75_-100_2_3
Key: npcConnectLimit | 出现次数: 5    | 样本: npcConnectLimit_0_4_1_3
Key: fiveFlowerSummon | 出现次数: 5    | 样本: fiveFlowerSummon_1010
Key: moodUpStable    | 出现次数: 4    | 样本: moodUpStable_0_20
Key: changeAttrCost  | 出现次数: 4    | 样本: changeAttrCost_8_1_-200
Key: reward          | 出现次数: 4    | 样本: reward_970009|reward_970010|reward_970011|reward_970012|reward_970013|callDrama_970116
Key: boutExhausted   | 出现次数: 4    | 样本: boutExhausted_5000_exhaustedLog90010022
Key: addFairyChicken | 出现次数: 4    | 样本: addFairyChicken_3
Key: modelBackAnnex  | 出现次数: 4    | 样本: modelBackAnnex_shihunjian1
Key: energyDownStable | 出现次数: 3    | 样本: energyDownStable_0_-30
Key: beautyLock      | 出现次数: 3    | 样本: beautyLock_900
Key: fireLock        | 出现次数: 3    | 样本: fireLock_1
Key: frozeLock       | 出现次数: 3    | 样本: frozeLock_1
Key: thunderLock     | 出现次数: 3    | 样本: thunderLock_1
Key: windLock        | 出现次数: 3    | 样本: windLock_1
